ǝC02,Problem Description,# of wheels,Ratio,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep
,346,30,,,,,,,,,,,,,,,9,5,6,,,3,2,3,,,,,1,,,,1
,331,28,,,,,,,,,,,,,,2,1,,1,,,,2,2,8,5,,,3,1,,2,1
,351,22,,,,,,,,,,,,,,3,3,8,1,,,2,2,,,,,,,3,,,
,314,10,,,,,,,,,,,,,,,,4,1,,,1,1,1,1,1,,,,,,,
,304,9,,,,,,,,,,,,,,,1,3,1,,,,1,,,,,,,1,1,,1
,327,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
,308,6,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,1,1,1,
,343,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,,,
,340,3,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,
,341,3,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,
,315,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,
,305,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,357,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,352,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ǝC03,Problem Description,# of wheels,Ratio,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep
,308,30,,,,,,,,,,,,,,,12,,2,,,1,1,2,4,3,,,1,1,,3,
,351,26,,,,,,,,,,,,,,1,1,15,3,,,,,,,,,,,1,3,2,
,346,23,,,,,,,,,,,,,,1,,1,3,,,2,10,3,,1,,,2,,,,
,304,22,,,,,,,,,,,,,,1,1,1,2,,,,1,2,1,3,,,2,4,1,2,1
,342,19,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,9,,1
,343,8,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,1,
,354,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
,314,4,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,1,,,
,352,4,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,
,331,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,
,340,3,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,
,347,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,315,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,348,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,301,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,341,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,318,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ǝC09,Problem Description,# of wheels,Ratio,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep
,351,15,,,,,,,,,,,,,,,,,2,,,,,1,7,,,,,3,1,,1
,331,5,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,1,,,,
,346,3,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,
,347,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
,301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ǝC12,Problem Description,# of wheels,Ratio,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep
,351,22,,,,,,,,,,,,,,3,5,4,8,,,,1,,1,,,,,,,,
,331,8,,,,,,,,,,,,,,,1,5,1,,,,,,,,,,,,,1,
,346,8,,,,,,,,,,,,,,,,2,,,,,,,,3,,,2,,,1,
,343,4,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,1,
,344,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,304,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ǝC15,Problem Description,# of wheels,Ratio,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep
,342,45,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,14,4,23,2
,343,24,,,,,,,,,,,,,,,,,,,,1,1,1,,2,,,2,,17,,
,346,19,,,,,,,,,,,,,,,2,4,4,,,,1,2,1,2,,,1,,,,2
,331,17,,,,,,,,,,,,,,,,,1,,,,,1,6,6,,,1,1,,1,
,351,11,,,,,,,,,,,,,,,,,1,,,,,,6,1,,,1,2,,,
,327,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
,331,8,,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,,1
,304,3,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,
,352,4,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1
,340,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,314,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,308,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
